Player,Season,Age,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First Place Votes,Pts Won,Pts Max,Vote Share
Stephen Curry,2016,27.0,GSW,PG,79.0,79.0,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9.0,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,"MVP-1,AS,NBA1",2700.0,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,13.8,4.1,17.9,0.318,10.3,1.6,11.9,9.5,131.0,1310.0,1310.0,1.0
LeBron James,2013,28.0,MIA,PF,76.0,76.0,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,"MVP-1,DPOY-2,AS,NBA1",2877.0,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,120.0,1207.0,1210.0,0.998
Kevin Garnett,2004,27.0,MIN,PF,82.0,82.0,39.4,9.8,19.6,0.499,0.1,0.5,0.256,9.7,19.1,0.506,0.502,4.5,5.7,0.791,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,"MVP-1,DPOY-6,AS,NBA1",3231.0,29.4,0.547,0.027,0.289,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,10.4,8.0,18.3,0.272,6.8,3.3,10.2,10.0,120.0,1219.0,1230.0,0.991
Kevin Durant,2014,25.0,OKC,SF,81.0,81.0,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.549,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,"MVP-1,AS,NBA1",3122.0,29.8,0.635,0.291,0.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,14.8,4.4,19.2,0.295,8.8,1.4,10.2,9.6,119.0,1232.0,1250.0,0.986
LeBron James,2010,25.0,CLE,SF,76.0,76.0,39.0,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,"MVP-1,DPOY-4,AS,NBA1",2966.0,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3,116.0,1205.0,1230.0,0.98
Derrick Rose,2011,22.0,CHI,PG,81.0,81.0,37.4,8.8,19.7,0.445,1.6,4.8,0.332,7.2,15.0,0.481,0.485,5.9,6.9,0.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,"MVP-1,AS,NBA1",3026.0,23.5,0.55,0.241,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,8.3,4.8,13.1,0.208,6.3,0.5,6.8,6.7,113.0,1182.0,1210.0,0.977
LeBron James,2009,24.0,CLE,SF,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,"MVP-1,DPOY-2,AS,NBA1",3054.0,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,109.0,1172.0,1210.0,0.969
Nikola JokiÄ,2021,25.0,DEN,C,72.0,72.0,34.6,10.2,18.0,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,"MVP-1,AS,NBA1",2488.0,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,91.0,971.0,1010.0,0.961
James Harden,2018,28.0,HOU,SG,72.0,72.0,35.4,9.0,20.1,0.449,3.7,10.0,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,"MVP-1,AS,NBA1",2551.0,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,11.6,3.8,15.4,0.289,8.5,1.4,9.9,7.7,86.0,965.0,1010.0,0.955
Giannis Antetokounmpo,2020,25.0,MIL,PF,63.0,63.0,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,"MVP-1,DPOY-1,AS,NBA1",1917.0,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,85.0,962.0,1010.0,0.952
Nikola JokiÄ,2024,28.0,DEN,C,79.0,79.0,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,"MVP-1,CPOY-4,AS,NBA1",2737.0,31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,79.0,926.0,990.0,0.935
Giannis Antetokounmpo,2019,24.0,MIL,PF,72.0,72.0,32.8,10.0,17.3,0.578,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,"MVP-1,DPOY-2,AS,NBA1",2358.0,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,78.0,941.0,1010.0,0.932
Stephen Curry,2015,26.0,GSW,PG,80.0,80.0,32.7,8.2,16.8,0.487,3.6,8.1,0.443,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,"MVP-1,AS,NBA1",2613.0,28.0,0.638,0.482,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,0.288,8.2,1.7,9.9,7.9,100.0,1198.0,1300.0,0.922
Joel Embiid,2023,28.0,PHI,C,66.0,66.0,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,"MVP-1,DPOY-9,CPOY-5,AS,NBA1",2284.0,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,73.0,915.0,1000.0,0.915
LeBron James,2012,27.0,MIA,SF,62.0,62.0,37.5,10.0,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,"MVP-1,DPOY-4,AS,NBA1",2326.0,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,0.298,8.2,2.7,10.9,7.6,85.0,1074.0,1210.0,0.888
Dirk Nowitzki,2007,28.0,DAL,PF,78.0,78.0,36.2,8.6,17.2,0.502,0.9,2.2,0.416,7.7,15.0,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,"MVP-1,AS,NBA1",2820.0,27.6,0.605,0.129,0.411,5.3,23.9,14.8,17.8,1.0,1.7,9.5,28.9,11.8,4.5,16.3,0.278,7.2,1.2,8.3,7.4,83.0,1138.0,1290.0,0.882
Russell Westbrook,2017,28.0,OKC,PG,81.0,81.0,34.6,10.2,24.0,0.425,2.5,7.2,0.343,7.7,16.8,0.459,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,"MVP-1,AS,NBA1",2802.0,30.6,0.554,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,0.224,8.7,2.4,11.1,9.3,69.0,888.0,1010.0,0.879
Nikola JokiÄ,2022,26.0,DEN,C,74.0,74.0,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,"MVP-1,AS,NBA1",2476.0,32.8,0.661,0.22,0.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,65.0,875.0,1000.0,0.875
Kobe Bryant,2008,29.0,LAL,SG,82.0,82.0,38.9,9.5,20.6,0.459,1.8,5.1,0.361,7.6,15.5,0.49,0.503,7.6,9.0,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,"MVP-1,DPOY-5,AS,NBA1",3192.0,24.2,0.576,0.246,0.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,0.208,5.2,0.6,5.8,6.3,82.0,1100.0,1260.0,0.873
Steve Nash,2005,30.0,PHO,PG,75.0,75.0,34.3,5.7,11.4,0.502,1.3,2.9,0.431,4.5,8.5,0.526,0.557,2.8,3.2,0.887,0.8,2.6,3.3,11.5,1.0,0.1,3.3,1.8,15.5,"MVP-1,AS,NBA1",2573.0,22.0,0.606,0.254,0.278,2.5,7.6,5.2,49.2,1.4,0.2,20.3,20.5,9.7,1.2,10.9,0.203,5.5,-0.8,4.7,4.4,65.0,1066.0,1270.0,0.839
Shaquille O'Neal,2005,32.0,MIA,C,73.0,73.0,34.1,9.0,15.0,0.601,0.0,0.0,,9.0,15.0,0.601,0.601,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9,"MVP-2,DPOY-8,AS,NBA1",2492.0,27.0,0.583,0.0,0.699,12.4,22.8,17.8,15.7,0.8,5.0,12.4,30.5,6.4,4.6,11.0,0.211,4.1,1.2,5.3,4.6,58.0,1032.0,1270.0,0.813
Steve Nash,2007,32.0,PHO,PG,76.0,76.0,35.3,6.8,12.8,0.532,2.1,4.5,0.455,4.8,8.3,0.575,0.613,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,"MVP-2,AS,NBA1",2682.0,23.8,0.654,0.353,0.254,1.4,9.9,5.8,50.1,1.1,0.2,21.0,22.9,10.8,1.7,12.6,0.225,6.7,-0.8,5.9,5.3,44.0,1013.0,1290.0,0.785
James Harden,2019,29.0,HOU,PG,78.0,78.0,36.8,10.8,24.5,0.442,4.8,13.2,0.368,6.0,11.3,0.528,0.541,9.7,11.0,0.879,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1,"MVP-2,AS,NBA1",2867.0,30.6,0.616,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,11.4,3.8,15.2,0.254,9.4,1.6,11.0,9.3,23.0,776.0,1010.0,0.768
James Harden,2017,27.0,HOU,PG,81.0,81.0,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,"MVP-2,AS,NBA1",2947.0,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,11.5,3.6,15.0,0.245,7.5,1.2,8.7,8.0,22.0,753.0,1010.0,0.746
LeBron James,2020,35.0,LAL,PG,67.0,67.0,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,"MVP-2,AS,NBA1",2316.0,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,16.0,753.0,1010.0,0.746
Steve Nash,2006,31.0,PHO,PG,79.0,79.0,35.4,6.8,13.4,0.512,1.9,4.3,0.439,4.9,9.0,0.548,0.583,3.3,3.5,0.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,"MVP-1,AS,NBA1",2796.0,23.3,0.632,0.324,0.264,1.9,11.1,6.6,44.4,1.1,0.3,19.0,23.3,10.3,2.1,12.4,0.212,5.7,-0.7,5.0,4.9,57.0,924.0,1250.0,0.739
Kevin Durant,2012,23.0,OKC,SF,66.0,66.0,38.6,9.7,19.7,0.496,2.0,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,"MVP-2,AS,NBA1",2546.0,26.2,0.61,0.265,0.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,8.5,3.7,12.2,0.23,6.2,0.8,7.0,5.8,24.0,889.0,1210.0,0.735
LeBron James,2018,33.0,CLE,PF,82.0,82.0,36.9,10.5,19.3,0.542,1.8,5.0,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,"MVP-2,AS,NBA1",3026.0,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,11.0,3.0,14.0,0.221,7.3,1.4,8.7,8.2,15.0,738.0,1010.0,0.731
James Harden,2015,25.0,HOU,SG,81.0,81.0,36.8,8.0,18.1,0.44,2.6,6.9,0.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,"MVP-2,AS,NBA1",2981.0,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.0,1.8,8.8,8.1,25.0,936.0,1300.0,0.72
LeBron James,2014,29.0,MIA,PF,77.0,77.0,37.7,10.0,17.6,0.567,1.5,4.0,0.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,"MVP-2,DPOY-6,AS,NBA1",2902.0,29.3,0.649,0.226,0.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,12.3,3.7,15.9,0.264,7.8,1.1,8.8,7.9,6.0,891.0,1250.0,0.713
Chris Paul,2008,22.0,NOH,PG,80.0,80.0,37.6,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13.0,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,"MVP-2,DPOY-7,AS,NBA1",3006.0,28.3,0.576,0.193,0.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,13.2,4.6,17.8,0.284,7.2,3.2,10.4,9.3,28.0,894.0,1260.0,0.71
Joel Embiid,2022,27.0,PHI,C,68.0,68.0,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,"MVP-2,AS,NBA2",2297.0,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12.0,0.252,7.2,2.0,9.2,6.5,26.0,706.0,1000.0,0.706
Nikola JokiÄ,2023,27.0,DEN,C,69.0,69.0,33.7,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6.0,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,"MVP-2,CPOY-13,AS,NBA2",2323.0,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17.0,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13.0,8.8,15.0,674.0,1000.0,0.674
Shai Gilgeous-Alexander,2024,25.0,OKC,PG,75.0,75.0,34.0,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,"MVP-2,DPOY-7,CPOY-3,AS,NBA1",2553.0,29.3,0.636,0.181,0.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1,15.0,640.0,990.0,0.646
Kevin Durant,2013,24.0,OKC,SF,81.0,81.0,38.5,9.0,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,"MVP-2,AS,NBA1",3119.0,28.3,0.647,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,13.6,5.3,18.9,0.291,7.6,1.7,9.3,8.9,0.0,765.0,1210.0,0.632
Giannis Antetokounmpo,2023,28.0,MIL,PF,63.0,63.0,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,"MVP-3,DPOY-6,AS,NBA1",2024.0,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,12.0,606.0,1000.0,0.606
Giannis Antetokounmpo,2022,27.0,MIL,PF,67.0,67.0,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,"MVP-3,DPOY-6,AS,NBA1",2204.0,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,9.0,595.0,1000.0,0.595
Tim Duncan,2004,27.0,SAS,PF,69.0,68.0,36.6,8.6,17.1,0.501,0.0,0.2,0.167,8.6,16.9,0.505,0.502,5.1,8.5,0.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,"MVP-2,DPOY-7,AS,NBA1",2527.0,27.1,0.534,0.01,0.498,10.2,27.6,19.0,17.4,1.3,5.3,11.3,29.7,5.9,7.2,13.1,0.249,5.2,3.3,8.5,6.7,0.0,716.0,1230.0,0.582
Joel Embiid,2021,26.0,PHI,C,51.0,51.0,31.1,9.0,17.6,0.513,1.1,3.0,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5,"MVP-2,DPOY-7,AS,NBA2",1585.0,30.3,0.636,0.171,0.61,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8,1.0,586.0,1010.0,0.58
Kobe Bryant,2009,30.0,LAL,SG,82.0,82.0,36.1,9.8,20.9,0.467,1.4,4.1,0.351,8.3,16.8,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,"MVP-2,DPOY-7,AS,NBA1",2960.0,24.4,0.561,0.196,0.329,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,8.6,4.0,12.7,0.206,5.6,0.3,5.9,5.9,2.0,698.0,1210.0,0.577
Luka DonÄiÄ,2024,24.0,DAL,PG,70.0,70.0,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13.0,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,"MVP-3,CPOY-6,AS,NBA1",2624.0,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0,4.0,566.0,990.0,0.572
Dwyane Wade,2009,27.0,MIA,SG,79.0,79.0,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,"MVP-3,DPOY-3,AS,NBA1",3048.0,30.4,0.574,0.16,0.443,3.5,12.2,7.8,40.3,3.0,2.8,11.6,36.2,10.3,4.4,14.7,0.232,8.2,2.4,10.6,9.6,7.0,680.0,1210.0,0.562
LeBron James,2006,21.0,CLE,SF,79.0,79.0,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,"MVP-2,AS,NBA1",3361.0,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,0.232,7.5,1.6,9.1,9.4,16.0,688.0,1250.0,0.55
Kevin Garnett,2008,31.0,BOS,PF,71.0,71.0,32.8,7.5,13.9,0.539,0.0,0.2,0.0,7.5,13.8,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,"MVP-3,DPOY-1,AS,NBA1",2328.0,25.3,0.588,0.011,0.339,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,6.6,6.2,12.9,0.265,4.7,3.5,8.2,6.0,15.0,670.0,1260.0,0.532
Dwight Howard,2011,25.0,ORL,C,78.0,78.0,37.6,7.9,13.4,0.593,0.0,0.1,0.0,7.9,13.3,0.597,0.593,7.0,11.7,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9,"MVP-2,DPOY-1,AS,NBA1",2935.0,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,14.4,0.235,2.9,2.4,5.3,5.4,3.0,643.0,1210.0,0.531
Kevin Durant,2010,21.0,OKC,SF,82.0,82.0,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,"MVP-2,AS,NBA1",3239.0,26.2,0.607,0.21,0.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,11.1,5.0,16.1,0.238,6.3,0.8,7.1,7.5,4.0,609.0,1230.0,0.495
Kawhi Leonard,2017,25.0,SAS,SF,74.0,74.0,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,"MVP-3,DPOY-3,AS,NBA1",2474.0,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,0.264,7.1,2.2,9.4,7.1,9.0,500.0,1010.0,0.495
Kobe Bryant,2010,31.0,LAL,SG,73.0,73.0,38.8,9.8,21.5,0.456,1.4,4.1,0.329,8.5,17.4,0.487,0.488,6.0,7.4,0.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,"MVP-3,DPOY-12,AS,NBA1",2835.0,21.9,0.545,0.192,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4.0,9.4,0.16,3.9,0.2,4.1,4.4,0.0,599.0,1230.0,0.487
Kawhi Leonard,2016,24.0,SAS,SF,72.0,72.0,33.1,7.7,15.1,0.506,1.8,4.0,0.443,5.9,11.1,0.528,0.565,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,"MVP-2,DPOY-1,AS,NBA1",2380.0,26.0,0.616,0.267,0.306,4.7,18.4,11.8,13.0,2.8,2.3,7.8,25.8,8.3,5.5,13.7,0.277,6.1,3.0,9.1,6.7,0.0,634.0,1310.0,0.484
LeBron James,2016,31.0,CLE,SF,76.0,76.0,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,"MVP-3,DPOY-11,AS,NBA1",2709.0,27.5,0.588,0.199,0.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,9.6,4.0,13.6,0.242,7.0,2.0,9.0,7.5,0.0,631.0,1310.0,0.482
Stephen Curry,2021,32.0,GSW,PG,63.0,63.0,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9.0,0.569,0.605,5.7,6.3,0.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0,"MVP-3,AS,NBA1",2152.0,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9.0,0.201,8.3,0.4,8.7,5.8,5.0,453.0,1010.0,0.449
Anthony Davis,2018,24.0,NOP,PF,75.0,75.0,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,"MVP-3,DPOY-3,AS,NBA1",2727.0,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9,0.0,445.0,1010.0,0.441
Dirk Nowitzki,2006,27.0,DAL,PF,81.0,81.0,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16.0,0.496,0.515,6.7,7.4,0.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,"MVP-3,AS,NBA1",3089.0,28.1,0.589,0.173,0.382,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,13.5,4.3,17.7,0.275,7.8,0.4,8.1,7.9,14.0,544.0,1250.0,0.435
LeBron James,2011,26.0,MIA,SF,79.0,79.0,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,"MVP-3,DPOY-9,AS,NBA1",3063.0,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,4.0,522.0,1210.0,0.431
Jermaine O'Neal,2004,25.0,IND,PF,78.0,78.0,35.7,7.8,17.9,0.434,0.0,0.2,0.111,7.8,17.7,0.438,0.435,4.5,5.9,0.757,2.5,7.5,10.0,2.1,0.8,2.6,2.3,3.2,20.1,"MVP-3,AS,NBA2",2788.0,21.1,0.489,0.013,0.329,8.1,25.0,16.5,12.3,1.2,5.5,10.1,30.2,2.7,6.3,9.0,0.155,1.1,1.3,2.4,3.1,2.0,523.0,1230.0,0.425
LeBron James,2015,30.0,CLE,SF,69.0,69.0,36.1,9.0,18.5,0.488,1.7,4.9,0.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,"MVP-3,DPOY-13,AS,NBA1",2493.0,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.199,6.1,1.0,7.1,5.7,5.0,552.0,1300.0,0.425
